food_code,name,group,protein,fat,carbs,energy,fibre
167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",4,1.5,14.0,7.0,160.0,0.0
167685,"Bologna, beef and pork, low fat",7,11.5,19.3,2.6,230.0,0.0
167686,"Milk dessert, frozen, milk-fat free, chocolate",19,4.3,1.0,37.7,167.0,0.0
167687,"Whipped topping, frozen, low fat",1,3.0,13.1,23.6,224.0,0.0
167688,"Cream substitute, powdered, light",1,1.9,15.7,73.4,431.0,0.0
167689,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",19,10.16,29.32,56.89,529.0,4.0
167690,"Babyfood, apple yogurt dessert, strained",3,0.8,1.6,19.5,93.0,0.5
167691,"Vegetable oil-butter spread, reduced calorie",4,0.0,53.0,0.0,465.0,0.0
167692,"Salad dressing, blue or roquefort cheese dressing, light",4,2.1,2.7,13.2,86.0,0.0
167693,"Salad dressing, french dressing, reduced calorie",4,0.4,13.0,27.0,227.0,0.0
167694,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",7,22.7,23.0,0.7,307.0,0.0
167695,"Mayonnaise, made with tofu",4,5.95,31.79,3.06,322.0,1.1
167696,"Frankfurter, beef, low fat",7,12.0,9.5,1.6,140.0,0.0
167697,"Milk, buttermilk, fluid, cultured, reduced fat",1,4.1,2.0,5.3,56.0,0.0
167698,"Pork sausage rice links, brown and serve, cooked",7,13.7,37.63,2.36,407.0,0.0
167699,"Salad dressing, blue or roquefort cheese dressing, fat-free",4,1.52,1.01,25.6,115.0,1.8
167700,"Salad Dressing, mayonnaise-like, fat-free",4,0.2,2.7,15.5,84.0,1.9
167701,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",19,3.2,17.5,71.22,443.0,2.9
167702,"Oil, flaxseed, cold pressed",4,0.11,99.98,0.0,884.0,0.0
167703,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",1,12.4,1.0,3.2,74.0,0.6
167704,"Salad dressing, bacon and tomato",4,1.8,35.0,2.0,326.0,0.2
167705,"Cheese, parmesan, low sodium",1,41.6,29.99,3.7,451.0,0.0
167706,"Jams, preserves, marmalade, reduced sugar",19,0.0,0.1,37.6,151.0,1.5
167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",14,0.25,0.16,91.0,227.0,2.2
167708,"Tomato and vegetable juice, low sodium",11,0.6,0.1,4.59,22.0,0.8
167709,"Turkey, wing, smoked, cooked, with skin, bone removed",5,27.4,12.41,0.0,221.0,0.0
167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed",5,27.9,9.8,0.0,200.0,0.0
167711,"Beverages, Chocolate-flavored drink, whey and milk based",14,0.64,0.4,10.68,49.0,0.6
167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",10,37.04,41.78,1.43,541.0,0.0
167713,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",5,29.3,5.0,0.0,162.0,0.0
167714,"Hearts of palm, raw",11,2.7,0.2,25.61,115.0,1.5
167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",8,10.93,2.06,80.65,339.0,14.7
167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",1,10.9,1.0,3.0,67.0,0.0
167717,Yeast extract spread,11,23.88,0.9,20.42,185.0,6.5
167718,"Babyfood, juice, pear",3,0.0,0.0,11.86,43.0,0.1
167719,"Chicken, meatless, breaded, fried",16,21.28,12.77,8.51,234.0,4.3
167720,"Babyfood, meat, beef with vegetables, toddler",3,3.5,2.1,8.72,69.0,1.8
167721,"Frozen novelties, juice type, juice with cream",19,1.41,1.41,24.11,115.0,0.1
167722,Tofu yogurt,16,3.5,1.8,15.96,94.0,0.2
167723,"Alcoholic beverage, rice (sake)",14,0.5,0.0,5.0,134.0,0.0
167724,"Millet, puffed",8,13.0,3.4,80.0,354.0,2.7
167725,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",8,10.0,3.0,78.0,380.0,8.0
167726,"Babyfood, mixed fruit yogurt, strained",3,0.8,0.8,16.23,75.0,0.4
167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",14,5.16,4.52,19.88,141.0,0.0
167728,"Babyfood, rice and apples, dry",3,6.7,2.4,86.89,396.0,3.0
